Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
TUT_DESC_1,The red ball means it is targeting you,紅球意味著它針對你,ลูกบอลสีแดงหมายความว่ามันกำหนดเป้าหมายคุณ,Khi quả bóng màu đỏ có nghĩa là nó đang nhắm vào bạn,Bola merah berarti menargetkan Anda,A bola vermelha significa que está mirando em você,La bola roja significa que te está dirigiendo,"Красный мяч означает, что он нацелен на вас",La boule rouge signifie qu'elle vous cible,"Der rote Ball bedeutet, dass er sich an Sie abzielt",Kırmızı top sizi hedeflediği anlamına gelir,लाल गेंद का मतलब है कि यह आपको निशाना बना रहा है,Mingea roșie înseamnă că te vizează,الكرة الحمراء تعني أنها تستهدفك,အနီရောင်ဘောလုံးကိုဆိုလိုသည်မှာသင့်ကိုပစ်မှတ်ထားခြင်းဖြစ်သည်,سرخ گیند کا مطلب ہے کہ وہ آپ کو نشانہ بنا رہا ہے,লাল বল মানে এটি আপনাকে লক্ষ্য করছে
TUT_DESC_2,Hit the ball when it is close to you,當球離你很近時,ตีลูกเมื่อมันอยู่ใกล้คุณ,Đánh quả bóng khi nó ở gần,Pukul bola saat dekat dengan Anda,Bata na bola quando estiver perto de você,Golpea la pelota cuando está cerca de ti,"Удар по мячу, когда он рядом с тобой",Frapper le ballon quand il est proche de toi,"Schlagen Sie den Ball, wenn er in Ihrer Nähe ist",Sana yakın olduğunda topa vur,गेंद को मारो जब यह आपके करीब हो,Lovește mingea când este aproape de tine,اضغط على الكرة عندما تكون قريبة منك,သင်နှင့်နီးစပ်သောအခါဘောလုံးကိုနှိပ်ပါ,جب آپ کے قریب ہوں گی تو گیند کو ماریں,আপনার কাছাকাছি থাকলে বলটি হিট করুন
EQUIP,Equip,裝備,ติดตั้ง,Trang bị,Melengkapi,Equipar,Equipar,Оборудовать,Équiper,Ausrüsten,Donatmak,लैस,Echipează,تجهيز,တပ်ဆင်ပေး,لیس کرنے کی,সজ্জিত
UNLOCK,Unlock,開鎖,ปลดล็อค,Mở khóa,Membuka kunci,Desbloquear,desbloquear,Разблокировать,Ouvrir,Freischalten,Kilidini aç,अनलॉक,Deblocare,الغاء القفل,သော့ဖွင့်,غیر مقفل,আনলক করুন
HUD_TAP_ANY,Tap anywhere to close,點擊任何地方關閉,แตะทุกที่เพื่อปิด,Chạm vào điểm bất kỳ để đóng,Ketuk di mana saja untuk ditutup,Toque em qualquer lugar para fechar,Toque en cualquier lugar para cerrar,"Нажмите где угодно, чтобы закрыть",Appuyez sur n'importe où pour fermer,"Tippen Sie an irgendwohin, um zu schließen",Kapatmak için herhangi bir yere dokunun,बंद करने के लिए कहीं भी टैप करें,Atingeți oriunde pentru a închide,اضغط على أي مكان للإغلاق,ပိတ်ရန်နေရာတိုင်းတွင်မဆိုအသာပုတ်ပါ,بند ہونے کے لئے کہیں بھی تھپتھپائیں,বন্ধ করতে যে কোনও জায়গায় আলতো চাপুন
ABILITY,Ability,能力,ความสามารถ,Kỹ năng,Kemampuan,Habilidade,Capacidad,Способность,Capacité,Fähigkeit,Yetenek,क्षमता,Capacitate,قدرة,စွမ်းအား,قابلیت,ক্ষমতা
WEAPON,Weapon,武器,อาวุธ,Vũ khí,Senjata,Arma,Arma,Оружие,Arme,Waffe,Silah,हथियार,Armă,سلاح,လက်နက်,ہتھیار,অস্ত্র
EQUIPPED,Equipped,配備了,มีอุปกรณ์ครบครัน,Đã trang bị,Lengkap,Equipado,Equipado,Оснащен,Équipé,Ausgestattet,Donanımlı,लैस,Echipat,مسلح,တပ်ဆင်ထားသည်,لیس,সজ্জিত
RANKING_BOARD_NAME,Ranking board,排名委員會,คณะกรรมการจัดอันดับ,BẢNG XẾP HẠNG TỔNG,Dewan Peringkat,Placa de classificação,Tabla de clasificación,Рейтинг,Tableau de classement,Rangliste,Sıralama tahtası,रैंकिंग बोर्ड,Consiliul de clasare,لوحة الترتيب,အဆင့်သတ်မှတ်ချက်,رینکنگ بورڈ,র‌্যাঙ্কিং বোর্ড
RANK,Rank,秩,จัดอันดับ,Hạng,Pangkat,Classificação,Rango,Классифицировать,Rang,Rang,Rütbe,पद,Rang,رتبة,အဆင့်,درجہ,র‌্যাঙ্ক
NAME,Name,姓名,ชื่อ,Tên,Nama,Nome,Nombre,Имя,Nom,Name,İsim,नाम,Nume,اسم,နံမယ်,نام,নাম
WIN,Wins,勝利,ชนะ,Trận thắng,Menang,Vence,Victorias,Побед,Victoires,Gewinnt,Kazanır,जीत,Câștigă,يفوز,ဝိုင်,جیت,জয়
MATCH_PLACEMENT,Match placement,比賽位置,จับคู่ตำแหน่ง,Xếp hạng trong trận,Pencocokan penempatan,Colocação de correspondência,Colocación de partidos,Матч размещение,Placement de correspondance,Übereinstimmung der Platzierung,Maç Yerleştirme,मैच प्लेसमेंट,Plasarea meciului,وضع المباراة,ပွဲစဉ်နေရာချထား,میچ پلیسمنٹ,ম্যাচ প্লেসমেন্ট
WAITING_NEXT_ROUND,Waiting for next round...,等待下一輪...,รอรอบถัดไป ...,Chờ vòng đấu tiếp theo..,Menunggu putaran berikutnya ...,Esperando pela próxima rodada ...,Esperando la próxima ronda ...,В ожидании следующего раунда ...,En attente du prochain tour ...,Warten auf die nächste Runde ...,Bir sonraki turu bekliyorum ...,अगले दौर की प्रतीक्षा में ...,Așteptând runda următoare ...,في انتظار الجولة التالية ...,လာမယ့်ပတ်ပတ်လည်စောင့်ဆိုင်း ...,اگلے دور کا انتظار کر رہا ہے ...,পরের রাউন্ডের জন্য অপেক্ষা করছি ...
NEED_UNLOCK_PREV,Unlock prior ability,解鎖先前的能力,ปลดล็อกความสามารถก่อน,Mở kỹ năng trước đó,Buka Kunci Kemampuan sebelumnya,Desbloquear habilidade anterior,Desbloquear la capacidad anterior,Разблокировать предыдущие способности,Déverrouiller la capacité antérieure,Vorherige Fähigkeit freischalten,Önceki yeteneğin kilidini aç,पूर्व क्षमता अनलॉक करें,Deblocați abilitatea anterioară,فتح القدرة المسبقة,ကြိုတင်စွမ်းရည်ကိုသော့ဖွင့်ပါ,پیشگی قابلیت کو غیر مقفل کریں,পূর্বের ক্ষমতা আনলক করুন
ABILITY_BLINDBALL_NAME,BLIND BALL,盲球,ลูกตาบอด,GÂY MÙ,Bola buta,Bola cega,Bola ciega,Слепой мяч,Boule aveugle,Blindkugel,Kör top,ब्लाइंड बॉल,Minge oarbă,كرة أعمى,မျက်စိကန်းသောဘောလုံး,بلائنڈ بال,অন্ধ বল
ABILITY_BLINDBALL_DESC,Create the ball to make the next target be blind for a while.,創建球以使下一個目標持續一段時間。,สร้างลูกบอลเพื่อให้เป้าหมายต่อไปเป็นคนตาบอดสักพัก,Đánh một quả bóng hướng về đối phương gây mù tạm thời,Buat bola untuk membuat target berikutnya menjadi buta untuk sementara waktu.,Crie a bola para tornar o próximo alvo cego por um tempo.,Cree la pelota para que el próximo objetivo sea ciego por un tiempo.,"Создайте мяч, чтобы на некоторое время была слепым.",Créez le ballon pour rendre la prochaine cible aveugle pendant un certain temps.,"Erstellen Sie den Ball, um das nächste Ziel für eine Weile blind zu machen.",Bir sonraki hedefin bir süre kör olmasını sağlamak için topu oluşturun.,अगले लक्ष्य को थोड़ी देर के लिए अंधा बनाने के लिए गेंद बनाएं।,Creați mingea pentru a face următoarea țintă să fie orbă pentru o perioadă.,إنشاء الكرة لجعل الهدف التالي يكون أعمى لفترة من الوقت.,လာမယ့်ပစ်မှတ်ခဏမျက်စိကန်းစေဖို့ဘောလုံးကိုဖန်တီးပါ။,اگلے ہدف کو تھوڑی دیر کے لئے اندھا بنانے کے لئے گیند بنائیں۔,পরবর্তী লক্ষ্যটিকে কিছুক্ষণ অন্ধ করে তুলতে বলটি তৈরি করুন।
ABILITY_STUNBALL_NAME,STUN BALL,電擊球,ลูกสตัน,BÓNG NHỆN,Bola setrum,Bola de atordoamento,Bola aturdida,Огромный мяч,Bouledonner,Betäubungskugel,Sersemletmek,स्टन बॉल,Bilă stun,كرة الصاعقة,Ball Ball,اسٹن بال,স্টান বল
ABILITY_STUNBALL_DESC,Create the ball to make the next target be stunned for a while,創建球使下一個目標震驚了一段時間,สร้างลูกบอลเพื่อให้เป้าหมายต่อไปตกตะลึงสักพัก,Đánh một quả bóng hướng về đối phương trói chân tạm thời,Membuat bola untuk membuat target berikutnya terpana untuk sementara waktu,Crie a bola para fazer o próximo alvo ficar atordoado por um tempo,Crea la pelota para que el próximo objetivo se aturdirá por un tiempo,"Создайте мяч, чтобы на некоторое время ошеломила следующую цель",Créez le ballon pour que la prochaine cible soit stupéfaite pendant un certain temps,"Erstellen Sie den Ball, damit das nächste Ziel für eine Weile fassungslos ist",Bir sonraki hedefin bir süre sersemlemesi için topu oluşturun,अगला लक्ष्य बनाने के लिए गेंद को थोड़ी देर के लिए दंग बनाएं,Creați mingea pentru ca următoarea țintă să fie uimită o perioadă,قم بإنشاء الكرة لجعل الهدف التالي مذهولًا لفترة من الوقت,နောက်ပစ်မှတ်ကိုခဏတာအံ့အားသင့်စေရန်ဘောလုံးကိုဖန်တီးပါ,اگلے ہدف کو تھوڑی دیر کے لئے دنگ رہنے کے ل the گیند بنائیں,পরবর্তী লক্ষ্যটি কিছুক্ষণ স্তব্ধ হয়ে যাওয়ার জন্য বলটি তৈরি করুন
ABILITY_SMALLBALL_NAME,SMALL BALL,小球,ลูกเล็ก,BÓNG BÉ XÍU,Bola kecil,BOLA PEQUENA,Bola pequeña,МАЛЕНЬКИЙ ШАРИК,PETITE BALLE,KLEINER BALL,KÜÇÜK TOP,छोटी सी गेंद,MINGE MICĂ,كرة صغيرة,ဘောလုံးငယ်,چھوٹی گیند,ছোট বল
ABILITY_SMALLBALL_DESC,"Hit the small ball toward enemy, the ball now dealt 200 damage",將小球撞向敵人，球現在造成200次傷害,ตีลูกบอลเล็ก ๆ ไปยังศัตรูตอนนี้ลูกบอลสร้างความเสียหาย 200 ลูก,Đánh một quả bóng nhỏ về hướng đối phương gây 200 sát thương,"Pukul bola kecil ke arah musuh, bola sekarang mengalami 200 kerusakan","Bata na pequena bola em direção ao inimigo, a bola agora causou 200 danos","Golpea la pequeña pelota hacia el enemigo, la pelota ahora causó 200 daños","Ударить маленький мяч по отношению к врагу, мяч теперь нанесла 200 повреждений","Frappez la petite balle vers l'ennemi, le ballon a maintenant infligé 200 dégâts","Schlagen Sie den kleinen Ball auf den Feind zu, der Ball hat jetzt 200 Schaden angerichtet","Küçük topa düşmana doğru vur, top şimdi 200 hasar verdi","दुश्मन की ओर छोटी गेंद को मारो, गेंद अब 200 क्षति से निपटती है","Loveste mingea mică spre inamic, mingea a suferit acum 200 de daune",ضرب الكرة الصغيرة نحو العدو ، تعرضت الكرة الآن 200 ضرر,ဘောလုံးကိုရန်သူအနေဖြင့်ဘောလုံးကိုနှိပ်ပါ။,چھوٹی گیند کو دشمن کی طرف مارو ، گیند نے اب 200 کو پہنچنے والے نقصان سے نمٹا,"শত্রুর দিকে ছোট বলটি আঘাত করুন, বলটি এখন 200 টি ক্ষতি করেছে"
ABILITY_SWAP_NAME,SWAP,交換,แลกเปลี่ยน,HOÁN ĐỔi,MENUKAR,TROCAR,INTERCAMBIO,МЕНЯТЬ,ÉCHANGER,TAUSCHEN,TAKAS,बदलना,Swap,تبديل,လဲလှယ်,تبادلہ,অদলবদল
ABILITY_SWAP_DESC,Swap positions with the target of the ball,與球的目標交換位置,การแลกเปลี่ยนตำแหน่งกับเป้าหมายของลูกบอล,Thay đổi vị trí với người bị quả bóng hướng tới,Menukar posisi dengan target bola,Trocar posições com o alvo da bola,Cambiar posiciones con el objetivo de la pelota,Положения обмена с целью мяча,Échanger des positions avec la cible de la balle,Tauschen Sie Positionen mit dem Ziel des Balls aus,Topun hedefi ile pozisyonları takas,गेंद के लक्ष्य के साथ स्वैप स्थिति,Schimbați pozițiile cu ținta mingii,تبديل المواقف مع هدف الكرة,ဘောလုံး၏ပစ်မှတ်နှင့်အတူလဲလှယ်ရေးရာထူး,گیند کے ہدف کے ساتھ پوزیشنوں کو تبدیل کریں,বলের লক্ষ্য নিয়ে অবস্থানগুলি অদলবদল করুন
