Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
TIPS_Segment_title,Active Elite,活躍精英,ชนชั้นสูงที่ใช้งานอยู่,Giới thượng lưu hoạt động,Elite aktif,Elite ativa,Élite activo,Активная элита,Élite active,Aktive Elite,Aktif elit,सक्रिय अभिजात वर्ग,Elită activă,النخبة النشطة,တက်ကြွအထက်တန်းလွှာ,فعال اشرافیہ,সক্রিয় অভিজাত
TIPS_WeeklyTaskTips,Weekly Tasks,每周任務,งานประจำสัปดาห์,Nhiệm vụ hàng tuần,Tugas mingguan,Tarefas semanais,Tareas semanales,Еженедельные задачи,Tâches hebdomadaires,Wöchentliche Aufgaben,Haftalık Görevler,साप्ताहिक कार्य,Sarcini săptămânale,المهام الأسبوعية,အပတ်စဉ်အလုပ်များ,ہفتہ وار کام,সাপ্তাহিক কাজ
TIPS_WeeklyReward,Task reward: Title [Active Elite],任務獎勵：稱號[活躍精英],รางวัลงาน: ชื่อ [Active Elite],Phần thưởng nhiệm vụ: Tiêu đề [Active Elite],Hadiah Tugas: Judul [Elite Aktif],Recompensa da tarefa: título [elite ativa],Recompensa de la tarea: Título [Elite Active],Награда за задание: заголовок [Active Elite],Récompense de la tâche: titre [Elite active],Aufgabebelohnung: Titel [Active Elite],Görev Ödülü: Başlık [Aktif Elite],टास्क इनाम: शीर्षक [सक्रिय अभिजात वर्ग],Recompensa pentru sarcini: titlu [Active Elite],مكافأة المهمة: العنوان [النخبة النشطة],Task Reward: ခေါင်းစဉ် [Active Elite],ٹاسک انعام: عنوان [فعال اشرافیہ],টাস্ক পুরষ্কার: শিরোনাম [সক্রিয় অভিজাত]
TIPS_WeeklyType1,Win {0} games this week! ({1}/{2}),本周内獲得{0}場勝利！({1}/{2}),ชนะ {0} เกมในสัปดาห์นี้! ({1}/{2}),Win {0} Trò chơi trong tuần này! ({1}/{2}),Menangkan {0} game minggu ini! ({1}/{2}),Ganhe {0} jogos esta semana! ({1}/{2}),¡Gane {0} juegos esta semana! ({1}/{2}),Выиграйте {0} игры на этой неделе! ({1}/{2}),Gagnez des jeux {0} cette semaine! ({1} / {2}),Gewinnen Sie diese Woche {0} Spiele! ({1}/{2}),Bu hafta {0} oyunları kazanın! ({1}/{2}),इस सप्ताह {0} गेम जीतें! ({1}/{2}),Câștigă {0} Jocuri săptămâna aceasta! ({1}/{2}),فوز {0} ألعاب هذا الأسبوع! ({1}/{2}),Win {0} ဂိမ်းယခုအပတ်! ({1} / {2}),جیت {0} اس ہفتے کھیل! ({1}/{2}),এই সপ্তাহে {0} গেমগুলি জিতুন! ({1}/{2})
TIPS_WeeklyType2,Cause {0} kills this week! ({1}/{2}),本周内造成{0}個擊殺！({1}/{2}),สาเหตุ {0} ฆ่าสัปดาห์นี้! ({1}/{2}),Nguyên nhân {0} giết chết trong tuần này! ({1}/{2}),Karena {0} membunuh minggu ini! ({1}/{2}),Causa {0} mata esta semana! ({1}/{2}),¡Porque {0} mata esta semana! ({1}/{2}),Причина {0} убивает на этой неделе! ({1}/{2}),Parce que {0} tue cette semaine! ({1} / {2}),Ursache {0} tötet diese Woche! ({1}/{2}),Neden {0} bu hafta öldürüyor! ({1}/{2}),कारण {0} इस सप्ताह मारता है! ({1}/{2}),Cauză {0} ucide săptămâna aceasta! ({1}/{2}),السبب {0} يقتل هذا الأسبوع! ({1}/{2}),အကြောင်းရင်း {0} ယခုအပတ်သတ်ပစ်! ({1} / {2}),وجہ {0} اس ہفتے ہلاک! ({1}/{2}),কারণ {0} এই সপ্তাহে হত্যা! ({1}/{2})
TIPS_WeeklyType3,Dealing {0} damage points this week! ({1}/{2}),本周内造成{0}點傷害！({1}/{2}),การจัดการคะแนนความเสียหาย {0} ในสัปดาห์นี้! ({1}/{2}),Thử nghiệm {0} điểm thiệt hại trong tuần này! ({1}/{2}),Berurusan {0} poin kerusakan minggu ini! ({1}/{2}),Trocando {0} Pontos de dano esta semana! ({1}/{2}),¡Mirando {0} puntos de daño esta semana! ({1}/{2}),Сделка {0} Повторные очки на этой неделе! ({1}/{2}),TRAITEMENT {0} Points de dégâts cette semaine! ({1} / {2}),Handel {0} Schadenspunkte in dieser Woche! ({1}/{2}),{0} hasar puanları bu hafta! ({1}/{2}),इस सप्ताह {0} क्षति अंक बिंदु! ({1}/{2}),Tratarea {0} Puncte de daune săptămâna aceasta! ({1}/{2}),التعامل {0} نقاط التلف هذا الأسبوع! ({1}/{2}),ရောင်းဝယ်ခြင်း {0} 0 င်ပျက်စီးခြင်းအချက်ယခုအပတ်! ({1} / {2}),اس ہفتے {0} نقصان کے نکات سے نمٹنے کے لئے! ({1}/{2}),এই সপ্তাহে {0} ক্ষতি পয়েন্টগুলি ডিল করা! ({1}/{2})
TIPS_WeeklyTask_Over,You have completed the task of this week,你已經完成了本周任務,คุณทำภารกิจของสัปดาห์นี้เสร็จแล้ว,Bạn đã hoàn thành nhiệm vụ của tuần này,Anda telah menyelesaikan tugas minggu ini,Você concluiu a tarefa desta semana,Has completado la tarea de esta semana,Вы выполнили задачу на этой неделе,Vous avez terminé la tâche de cette semaine,Sie haben die Aufgabe dieser Woche abgeschlossen,Bu haftanın görevini tamamladınız,आपने इस सप्ताह का कार्य पूरा कर लिया है,Ați finalizat sarcina din această săptămână,لقد أكملت مهمة هذا الأسبوع,သငျသညျယခုအပတ်၏လုပ်ငန်းပြီးစီးပါပြီ,آپ نے اس ہفتے کا کام مکمل کرلیا ہے,আপনি এই সপ্তাহের কাজটি শেষ করেছেন
TIPS_GameGoal,"Game objective: Kill enemy will change weapon, achieve 24 kill to win.",游戲目標：擊殺敵方更換武器，達成24殺獲勝,วัตถุประสงค์ของเกม: ฆ่าศัตรูจะเปลี่ยนอาวุธบรรลุ 24 ฆ่าเพื่อชนะ,"Mục tiêu trò chơi: Kill Kẻ thù sẽ thay đổi vũ khí, đạt được 24 kẻ giết người để giành chiến thắng.","Tujuan Game: Bunuh Musuh akan mengubah senjata, mencapai 24 Kill to Win.","Objetivo do jogo: Kill inimigo mudará a arma, alcançará 24 mortes para vencer.","Objetivo del juego: Kill Enemy cambiará el arma, alcanzará 24 Kill para ganar.","Игровая цель: Убить врага изменит оружие, достигнет 24 убийства, чтобы победить.","Objectif du jeu: Kill Enemy changera d'arme, atteindra 24 kill pour gagner.","Spielziel: Kill Enemy wird die Waffe wechseln, 24 Kill erreichen, um zu gewinnen.","Oyun hedefi: Öldürme düşmanı silahı değiştirecek, kazanmak için 24 öldürme elde edecek.","खेल उद्देश्य: किल दुश्मन हथियार बदल देगा, जीतने के लिए 24 किल हासिल करेगा।","Obiectivul jocului: Kill Enemy va schimba arma, va realiza 24 de ucideri pentru a câștiga.",الهدف من اللعبة: سيؤدي Kill Enemy إلى تغيير السلاح ، وتحقيق 24 Kill للفوز.,"ဂိမ်းရည်မှန်းချက် - ရန်သူကိုသတ်ရန်လက်နက်ပြောင်းရန်လက်နက်ပြောင်းရန်, အနိုင်ရရန်သတ်ရန် 24 ဦး ကိုအောင်မြင်ရန်။",کھیل کا مقصد: کِل دشمن ہتھیار بدل دے گا ، جیتنے کے لئے 24 کو حاصل کرے گا۔,"গেমের উদ্দেশ্য: হত্যা শত্রু অস্ত্র পরিবর্তন করবে, জয়ের জন্য 24 কিল অর্জন করবে।"
TIPS_Null,Null,無,โมฆะ,Vô giá trị,Batal,Nulo,Nulo,Нулевой,Nul,Null,Hükümsüz,व्यर्थ,Nul,باطلتوكن أرض الحرف,တရားစွာလဲွ,خالی,খালি
TIPS_PlayerInfo_Token,Craftland Token,我的戰場代幣,โทเคนคราฟท์แลนด์,HH thiết kế bản đồ,Craftland Token,Token da Oficina de Criação,Token Crea Tu Mapa,Жетон Личного Острова,Jeton Craftland,,Üretim Diyarı Jetonu,क्राफ़्टलैंड टोकन,,,,,ক্রাফটল্যান্ড টোকেন
,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,
