Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Bengali
Shop_item6,Grade 4 mushroom,4級蘑菇,เห็ดเกรด 4,Nấm lớp 4,Kelas 4 Jamur,Mushroom de grau 4,Hongo de grado 4,4 класс гриб,Champignon de 4e année,Pilz der Klasse 4,4. Sınıf Mantar,ग्रेड 4 मशरूम,Ciupercă de gradul 4,الصف 4 الفطر,গ্রেড 4 মাশরুম
Shop_item7,Breathing,呼吸治療器,การหายใจ,Thở,Pernafasan,Respirando,Respiración,Дыхание,Respiration,Atmung,Nefes alma,साँस लेने,Respiraţie,عمليه التنفس,শ্বাস প্রশ্বাস
UI_CloseTips,Tap to close,點擊關閉,แตะเพื่อปิด,Nhấn để đóng,Ketuk untuk menutup,Toque para fechar,Toque para cerrar,"Нажмите, чтобы закрыть",Appuyez pour fermer,"Tippen, um zu schließen",Kapatmak için dokunun,बंद करने के लिए टैप करें,Atingeți pentru a închide,اضغط على الإغلاق,বন্ধ করতে আলতো চাপুন
RankUI_Title,Ranking,排名,การจัดอันดับ,Xếp hạng,Peringkat,Ranking,Clasificación,Рейтинг,Classement,Rangfolge,Sıralama,श्रेणी,Clasament,تصنيف,র‌্যাঙ্কিং
RankUI_Rank,Rank,排名,จัดอันดับ,Thứ hạng,Pangkat,Classificação,Rango,Классифицировать,Rang,Rang,Rütbe,पद,Rang,رتبة,র‌্যাঙ্ক
RankUI_Name,Nickname,昵稱,ชื่อเล่น,Tên nick,Nama panggilan,Apelido,Apodo,Прозвище,Surnom,Spitzname,Takma ad,उपनाम,Poreclă,كنية,ডাকনাম
RankUI_Num,Eliminate,消滅,กำจัด,Loại bỏ,Menghapuskan,Eliminar,Eliminar,Устранять,Éliminer,Beseitigen,Elemek,हटाना,Înlătura,اِسْتَبْعَد,নিষ্কাশন করা
UI_allProperty_title,Attribute Introduction,内容介紹,การแนะนำคุณลักษณะ,Giới thiệu thuộc tính,Pendahuluan Atribut,Introdução ao atributo,Introducción de atributos,Атрибут введение,Introduction d'attribut,Attributeinführung,Öznitelik Giriş,विशेषता परिचय,Introducere atribut,مقدمة السمة,বৈশিষ্ট্য ভূমিকা
UI_allProperty_tips1,Current Level：,當前等級：,ระดับปัจจุบัน:,Cấp độ hiện tại:,Level saat ini:,Nível atual:,Nivel actual:,Текущий уровень:,Niveau actuel:,Aktuelles Level:,Mevcut seviye:,वर्तमान स्तर:,Nivelul actual:,المستوى الحالي ：,বর্তমান স্তর:
UI_allProperty_tips2,Next Level：,下一等級：,ระดับถัดไป:,Cấp độ tiếp theo:,Level Berikutnya ：,Próximo nível:,Siguiente nivel:,Следующий уровень:,Niveau suivant:,Nächste Ebene:,Sonraki seviye:,अगला स्तर:,Nivelul următor:,المرحلة التالية:,পরবর্তী ধাপ:
UI_Title_SelectPro,Choose your evolutionary point,選擇你的進化點,เลือกจุดวิวัฒนาการของคุณ,Chọn điểm tiến hóa của bạn,Pilih titik evolusi Anda,Escolha o seu ponto evolutivo,Elija su punto evolutivo,Выберите свою эволюционную точку,Choisissez votre point d'évolution,Wählen Sie Ihren Evolutionspunkt,Evrimsel noktanızı seçin,अपना विकासवादी बिंदु चुनें,Alegeți -vă punctul evolutiv,اختر نقطة التطور الخاصة بك,আপনার বিবর্তনীয় পয়েন্ট চয়ন করুন
UI_Title_OutSelectPro,Choose your talent point,選擇你的天賦點,เลือกจุดพรสวรรค์ของคุณ,Chọn điểm tài năng của bạn,Pilih Titik Bakat Anda,Escolha seu ponto de talento,Elige tu punto de talento,Выберите свой талант,Choisissez votre point de talent,Wählen Sie Ihren Talentpunkt,Yetenek Noktanızı Seçin,अपनी प्रतिभा बिंदु चुनें,Alege -ți punctul de talent,اختر نقطة موهبتك,আপনার প্রতিভা পয়েন্ট চয়ন করুন
UI_SkillPoint_SelectPro,Point:{0},點數：{0},จุด: {0},Điểm: {0},Point: {0},Ponto: {0},Punto: {0},Точка: {0},Point: {0},Punkt: {0},Nokta: {0},बिंदु: {0},Punct: {0},النقطة: {0},পয়েন্ট: {0}
UI_tips_talent1,Increase in-game gun magazine capacity,提升遊戲內槍械彈夾容量。,เพิ่มความจุของนิตยสารปืนในเกม,Tăng công suất của tạp chí súng trong trò chơi,Meningkatkan kapasitas majalah senapan,Aumentar a capacidade da revista de armas no jogo,Aumento de la capacidad de la revista de armas en el juego,Увеличение в игровом журнале журнала журнала,Augmenter la capacité du magazine d'armes à feu dans le jeu,Erhöhen Sie die Kapazität des Waffenmagazins im Spiel,Oyun İndirimi Gun dergisi kapasitesini artırın,इन-गेम गन पत्रिका क्षमता में वृद्धि,Creșteți capacitatea revistei de arme în joc,زيادة قدرة مجلة الأسلحة في اللعبة,গেম বন্দুক ম্যাগাজিনের ক্ষমতা বৃদ্ধি
UI_tips_talent2,Improve the refresh rate of rare attributes in the game,提升遊戲內稀有内容的刷新率。,ปรับปรุงอัตราการรีเฟรชของคุณลักษณะที่หายากในเกม,Cải thiện tốc độ làm mới của các thuộc tính hiếm trong trò chơi,Tingkatkan tingkat penyegaran atribut langka dalam permainan,Melhore a taxa de atualização de atributos raros no jogo,Mejorar la tasa de actualización de los atributos raros en el juego,Улучшить частоту обновления редких атрибутов в игре,Améliorer le taux de rafraîchissement des attributs rares dans le jeu,Verbessern Sie die Aktualisierungsrate seltener Attribute im Spiel,Oyundaki nadir niteliklerin yenileme hızını iyileştirin,खेल में दुर्लभ विशेषताओं की ताज़ा दर में सुधार करें,Îmbunătățiți rata de actualizare a atributelor rare în joc,تحسين معدل تحديث السمات النادرة في اللعبة,গেমটিতে বিরল বৈশিষ্ট্যের রিফ্রেশ রেট উন্নত করুন
UI_tips_talent3,Increase the maximum health in the game,提升遊戲內血量上限。,เพิ่มสุขภาพสูงสุดในเกม,Tăng sức khỏe tối đa trong trò chơi,Tingkatkan kesehatan maksimum dalam permainan,Aumente a saúde máxima no jogo,Aumentar la salud máxima en el juego,Увеличить максимальное здоровье в игре,Augmenter la santé maximale du jeu,Erhöhen Sie die maximale Gesundheit im Spiel,Oyundaki maksimum sağlığı artırın,खेल में अधिकतम स्वास्थ्य बढ़ाएं,Crește sănătatea maximă în joc,زيادة الحد الأقصى للصحة في اللعبة,গেমটিতে সর্বাধিক স্বাস্থ্য বৃদ্ধি করুন
UI_tips_talent4,Increase the rate of experience acquisition in the game,提升遊戲中經驗獲取的倍率。,เพิ่มอัตราการได้มาซึ่งประสบการณ์ในเกม,Tăng tỷ lệ mua lại kinh nghiệm trong trò chơi,Tingkatkan tingkat akuisisi pengalaman dalam permainan,Aumente a taxa de aquisição da experiência no jogo,Aumentar la adquisición de la tasa de experiencia en el juego,Увеличить приобретение опыта в игре,Augmenter le taux d'expérience acquisition dans le jeu,Erhöhen Sie die Erwerbsrate im Spiel,Oyunda deneyim edinme oranını artırın,खेल में अनुभव अधिग्रहण की दर बढ़ाएं,Crește rata de achiziție a experienței în joc,زيادة معدل اكتساب الخبرة في اللعبة,গেমটিতে অভিজ্ঞতা অর্জনের হার বাড়ান
UI_tips_talent5,Increase the probability of obtaining items through killing in the game,提升遊戲中擊殺獲取道具的概率。,เพิ่มความน่าจะเป็นที่จะได้รับรายการผ่านการฆ่าในเกม,Tăng xác suất có được vật phẩm thông qua giết người trong trò chơi,Tingkatkan probabilitas mendapatkan item melalui pembunuhan dalam permainan,Aumente a probabilidade de obter itens através da morte no jogo,Aumentar la probabilidad de obtener elementos a través del asesinato en el juego,Увеличить вероятность получения предметов за счет убийства в игре,Augmentez la probabilité d'obtenir des articles en tuant dans le jeu,"Erhöhen Sie die Wahrscheinlichkeit, Gegenstände durch Töten im Spiel zu erhalten",Oyunda öldürme yoluyla ürün alma olasılığını artırın,खेल में हत्या के माध्यम से आइटम प्राप्त करने की संभावना बढ़ाएं,Crește probabilitatea de a obține articole prin ucidere în joc,زيادة احتمال الحصول على العناصر من خلال القتل في اللعبة,গেমটিতে হত্যার মাধ্যমে আইটেম পাওয়ার সম্ভাবনা বাড়িয়ে দিন
Property_Name1,Health,生命,สุขภาพ,Sức khỏe,Kesehatan,Saúde,Salud,Здоровье,Santé,Gesundheit,Sağlık,स्वास्थ्य,Sănătate,صحة,স্বাস্থ্য
Property_Des1,Increase maximum health,提升生命值上限,เพิ่มสุขภาพสูงสุด,Tăng sức khỏe tối đa,Meningkatkan kesehatan maksimal,Aumentar a saúde máxima,Aumentar la salud máxima,Увеличить максимальное здоровье,Augmenter la santé maximale,Erhöhen Sie die maximale Gesundheit,Maksimum sağlığı artırın,अधिकतम स्वास्थ्य बढ़ाएं,Creșteți sănătatea maximă,زيادة الحد الأقصى للصحة,সর্বাধিক স্বাস্থ্য বৃদ্ধি করুন
Property_Detail1,Increase maximum health value{0},生命值上限提升{0},เพิ่มค่าสุขภาพสูงสุด {0},Tăng giá trị sức khỏe tối đa {0},Tingkatkan nilai kesehatan maksimum {0},Aumentar o valor máximo de saúde {0},Aumentar el valor máximo de salud {0},Увеличить максимальное значение здоровья {0},Augmenter la valeur de santé maximale {0},Erhöhen Sie den maximalen Gesundheitswert {0},Maksimum sağlık değerini artırın {0},अधिकतम स्वास्थ्य मूल्य बढ़ाएँ {0},Creșteți valoarea maximă de sănătate {0},زيادة القيمة الصحية القصوى {0},সর্বাধিক স্বাস্থ্যের মান {0} বৃদ্ধি করুন
Property_Name2,Strength,力量,ความแข็งแกร่ง,Sức mạnh,Kekuatan,Força,Fortaleza,Сила,Force,Stärke,Kuvvet,ताकत,Putere,قوة,শক্তি
Property_Des2,Cause additional damage,造成額外傷害,ทำให้เกิดความเสียหายเพิ่มเติม,Gây ra thiệt hại bổ sung,Menyebabkan kerusakan tambahan,Causar danos adicionais,Causar daños adicionales,Причинить дополнительный ущерб,Causer des dommages supplémentaires,Zusätzlichen Schaden verursachen,Ek hasara neden olur,अतिरिक्त क्षति का कारण,Provoacă daune suplimentare,تسبب أضرارا إضافية,অতিরিক্ত ক্ষতির কারণ
Property_Detail2,Attack damage increased by {0},攻擊傷害新增{0},การโจมตีความเสียหายเพิ่มขึ้นโดย {0},Thiệt hại tấn công tăng lên bởi {0},Kerusakan serangan meningkat sebesar {0},O dano de ataque aumentou em {0},El daño del ataque aumentó en {0},Ущерб атаки увеличился на {0},Les dégâts d'attaque ont augmenté de {0},Angriffsschaden erhöhte sich um {0},{0} ile saldırı hasarı arttı,हमले की क्षति {0} से बढ़ गई,Daunele de atac au crescut cu {0},زادت أضرار الهجوم عن طريق {0},আক্রমণ ক্ষতি {0} দ্বারা বৃদ্ধি পেয়েছে
Property_Name3,Defence,防禦,ป้องกัน,Phòng thủ,Pertahanan,Defesa,Defensa,Защита,La défense,Verteidigung,Savunma,रक्षा,Apărare,دفاع,প্রতিরক্ষা
Property_Des3,Reduce damage taken,降低所受傷害,ลดความเสียหายที่เกิดขึ้น,Giảm thiệt hại,Kurangi kerusakan yang diambil,Reduzir os danos causados,Reducir el daño tomado,Уменьшить ущерб,Réduire les dégâts pris,Schaden verringern,Alınan hasarı azaltın,नुकसान को कम करें,Reduce daunele suferite,تقليل الأضرار التي اتخذت,ক্ষতি হ্রাস
Property_Detail3,Reduce damage received by {0}%,受到傷害减少{0}%,ลดความเสียหายที่ได้รับจาก {0}%,Giảm thiệt hại nhận được bởi {0}%,Mengurangi kerusakan yang diterima oleh {0}%,Reduzir os danos recebidos por {0}%,Reducir el daño recibido por {0}%,"Уменьшить ущерб, полученный {0}%",Réduire les dégâts reçus par {0}%,"Reduzieren Sie den Schaden, den Sie durch {0}% erhalten haben",{0}% alınan hasarı azaltın,{0}% द्वारा प्राप्त क्षति को कम करें,Reduceți daunele primite de {0}%,تقليل الأضرار التي تلقاها {0} ٪,{0}% দ্বারা প্রাপ্ত ক্ষতি হ্রাস করুন
Property_Name4,MoveSpeed,移速,การเร่งความเร็ว,Tốc độ,Kecepatan,Velocidade,Velocidad,Скорость,Vitesse,Geschwindigkeit,Hız,गति,Viteză,السرعة,গতি
Property_Des4,Increase movement speed,提升移動速度,เพิ่มความเร็วในการเคลื่อนไหว,Tăng tốc độ di chuyển,Tingkatkan kecepatan gerakan,Aumentar a velocidade de movimento,Aumentar la velocidad de movimiento,Увеличить скорость движения,Augmenter la vitesse de mouvement,Erhöhen Sie die Bewegungsgeschwindigkeit,Hareket hızını artırın,आंदोलन की गति बढ़ाएं,Creșteți viteza de mișcare,زيادة سرعة الحركة,চলাচলের গতি বাড়ান
Property_Detail4,Increase movement speed by {0}%,移動速度提升{0}%,เพิ่มความเร็วในการเคลื่อนไหวโดย {0}%,Tăng tốc độ chuyển động bằng {0}%,Tingkatkan kecepatan gerakan dengan {0}%,Aumentar a velocidade de movimento em {0}%,Aumentar la velocidad de movimiento en {0}%,Увеличить скорость движения на {0}%,Augmenter la vitesse de mouvement de {0}%,Erhöhen Sie die Bewegungsgeschwindigkeit um {0}%,Hareket hızını% {0} artırın,{0}% से आंदोलन की गति बढ़ाएं,Creșteți viteza de mișcare cu {0}%,زيادة سرعة الحركة بنسبة {0} ٪,{0}% দ্বারা চলাচলের গতি বাড়ান
Property_Name5,Rate of fire,射速,อัตราการยิง,Tốc độ của lửa,Tingkat api,Taxa de incêndio,Cadencia de fuego,Скорость огня,Taux de feu,Feuerrate,Ateş oranı,आग की दर,Rata de foc,معدل النار,আগুনের হার
Property_Des5,Increase the firing rate of firearms,提升槍械射速,เพิ่มอัตราการยิงปืน,Tăng tốc độ bắn súng,Tingkatkan laju tembak senjata api,Aumentar a taxa de disparo de armas de fogo,Aumentar la tasa de disparo de las armas de fuego,Увеличьте скорость стрельбы огнестрельного оружия,Augmenter le taux de tir des armes à feu,Erhöhen Sie die Schussrate von Schusswaffen,Ateşli silahların ateşleme oranını artırın,आग्नेयास्त्रों की फायरिंग दर बढ़ाएं,Crește rata de ardere a armelor de foc,زيادة معدل إطلاق الأسلحة النارية,আগ্নেয়াস্ত্রের ফায়ারিং হার বাড়ান
Property_Detail5,Increase the firing speed of the main weapon by {0}%,主武器射速提升{0}%,เพิ่มความเร็วในการยิงของอาวุธหลักโดย {0}%,Tăng tốc độ bắn của vũ khí chính lên {0}%,Tingkatkan kecepatan tembak senjata utama dengan {0}%,Aumente a velocidade de disparo da arma principal em {0}%,Aumentar la velocidad de disparo de la arma principal en {0}%,Увеличьте скорость стрельбы основного оружия на {0}%,Augmentez la vitesse de tir de l'arme principale par {0}%,Erhöhen Sie die Feuergeschwindigkeit der Hauptwaffe um {0}%,Ana silahın ateşleme hızını% {0} artırın,मुख्य हथियार की फायरिंग गति को {0}% से बढ़ाएं,Creșteți viteza de ardere a armei principale cu {0}%,زيادة سرعة إطلاق السلاح الرئيسي بنسبة {0} ٪,মূল অস্ত্রের ফায়ারিং গতি {0}% দ্বারা বাড়ান
Property_Name6,Burial,冷卻,ฝังศพ,An táng,Pemakaman,Enterro,Entierro,Погребение,Enterrement,Beerdigung,Gömme,दफ़न,Înmormântare,دفن,দাফন
Property_Des6,Increase the chance of triggering special effects,提升特殊效果觸發幾率,เพิ่มโอกาสในการเรียกใช้เอฟเฟกต์พิเศษ,Tăng cơ hội kích hoạt các hiệu ứng đặc biệt,Tingkatkan kemungkinan memicu efek khusus,Aumente a chance de desencadear efeitos especiais,Aumentar la posibilidad de activar efectos especiales,Увеличьте вероятность выздоровления спецэффектов,Augmenter les chances de déclencher des effets spéciaux,"Erhöhen Sie die Wahrscheinlichkeit, Spezialeffekte auszulösen",Özel efektleri tetikleme şansını artırın,विशेष प्रभावों को ट्रिगर करने की संभावना बढ़ाएं,Crește șansa de a declanșa efecte speciale,زيادة فرصة تشغيل المؤثرات الخاصة,বিশেষ প্রভাবগুলি ট্রিগার করার সুযোগ বাড়ান
Property_Detail6,Increase skill triggering probability by {0}%,提升技能觸發幾率{0}%,เพิ่มทักษะที่กระตุ้นความน่าจะเป็นโดย {0}%,Tăng xác suất kích hoạt kỹ năng bằng {0}%,Meningkatkan probabilitas pemicu keterampilan dengan {0}%,Aumentar a probabilidade de acionar a habilidade por {0}%,Aumentar la probabilidad de activación de habilidades en {0}%,Увеличить вероятность запуска навыков на {0}%,Augmenter la probabilité de déclenchement des compétences par {0}%,Erhöhen Sie die Wahrscheinlichkeit des Fertigkeitsauslösens um {0}%,Beceri tetikleme olasılığını% {0},{0}% द्वारा कौशल ट्रिगर की संभावना बढ़ाएँ,Creșterea probabilității de declanșare a abilităților cu {0}%,زيادة المهارة التي تؤدي إلى احتمال {0} ٪,দক্ষতা ট্রিগার করার সম্ভাবনা বৃদ্ধি করুন {0}% দ্বারা
Property_Name7,Vampirism,吸血,การฉีดวัคซีน,Vampirism,Vampir,Vampirismo,Vampirismo,Вампиризм,Vampirisme,Vampirismus,Vampirlik,वैम्पायरिज़्म,Vampirism,مصاصي الدماء,ভ্যাম্পিরিজম
Property_Des7,Drain HP during attack,攻擊時汲取血量,ระบาย HP ในระหว่างการโจมตี,Thoát nước HP trong quá trình tấn công,Kuras HP selama serangan,Drene a HP durante o ataque,Drene HP durante el ataque,Слейте HP во время атаки,Égoutter HP pendant l'attaque,HP während des Angriffs abtropfen lassen,Saldırı sırasında HP'yi boşaltın,हमले के दौरान एचपी नाली,Scurge HP în timpul atacului,استنزاف HP أثناء الهجوم,আক্রমণ চলাকালীন এইচপি ড্রেন
Property_Detail7,Restore {0}% during attack,攻擊時回復{0}%,คืนค่า {0}% ระหว่างการโจมตี,Khôi phục {0}% trong quá trình tấn công,Kembalikan {0}% selama serangan,Restaurar {0}% durante o ataque,Restaurar {0}% durante el ataque,Восстановить {0}% во время атаки,Restaurer {0}% pendant l'attaque,Stellen Sie während des Angriffs {0}% wieder her,Saldırı sırasında {0}% geri yükleme,हमले के दौरान {0}% को पुनर्स्थापित करें,Restabiliți {0}% în timpul atacului,استعادة {0} ٪ أثناء الهجوم,আক্রমণের সময় {0}% পুনরুদ্ধার করুন
Property_Name8,Critical strike,暴擊,การโจมตีที่สำคัญ,Tấn công quan trọng,Pemogokan kritis,Ataque crítico,Golpe crítico,Критический удар,Coup critique,Kritische Treffer,Kritik vuruş,महत्वपूर्ण हड़ताल,Lovitura critica,ضربة حاسمة,সমালোচনামূলক ধর্মঘট
Property_Des8,Increase the chance of critical strike,提升暴擊的幾率,เพิ่มโอกาสในการโจมตีที่สำคัญ,Tăng cơ hội đình công quan trọng,Tingkatkan kemungkinan serangan kritis,Aumente a chance de ataque crítico,Aumentar las posibilidades de ataque crítico,Увеличить вероятность критического удара,Augmenter les chances de grève critique,Erhöhen Sie die Wahrscheinlichkeit eines kritischen Streiks,Kritik grev şansını artırın,महत्वपूर्ण हड़ताल की संभावना बढ़ाएं,Crește șansa grevei critice,زيادة فرصة الإضراب الحرجة,সমালোচনামূলক ধর্মঘটের সম্ভাবনা বাড়ান
Property_Detail8,Increase critical hit chance by {0}%,暴擊幾率提升{0}%,เพิ่มโอกาสตีวิกฤตโดย {0}%,Tăng cơ hội đánh quan trọng bằng {0}%,Tingkatkan peluang hit kritis dengan {0}%,Aumentar o acaso crítico de acerto por {0}%,Aumentar la oportunidad de golpes críticos de {0}%,Увеличить критический шанс на хит на {0}%,Augmenter la chance de frapper critique de {0}%,Erhöhen Sie die kritische Hit -Chance um {0}%,Kritik isabet şansını% {0} artırın,{0}% द्वारा महत्वपूर्ण हिट मौका बढ़ाएं,Crește șansa critică de succes de {0}%,زيادة فرصة الضرب الحرجة من قبل {0} ٪,{0}% দ্বারা সমালোচনামূলক হিট সুযোগ বাড়ান
Property_Name9,Reborn,重生,เกิดใหม่,Phục Sinh,Lahir baru,Renascido,Renacido,Возрождая,Renaître,Wiedergeboren,Yeniden doğmak,पुनर्जन्म,Renăscut,تولد من جديد,পুনর্জন্ম
Property_Des9,Reduce Rebirth Time,减少重生時間,ลดเวลาเกิดใหม่,Giảm thời gian tái sinh,Kurangi kelahiran kembali kalinya,Reduza o tempo do renascimento,Reducir el tiempo del renacimiento,Сократите время возрождения,Réduire le temps de renaissance,Reduzieren Sie die Wiedergeburtzeit,Yeniden doğuş süresini azaltın,पुनर्जन्म का समय कम करें,Reduceți timpul de renaștere,تقليل وقت ولادة جديدة,পুনর্জন্ম সময় হ্রাস করুন
Property_Detail9,Resurrection time reduced by {0},復活時間减少{0},เวลาฟื้นคืนชีพลดลงโดย {0},Thời gian phục hồi giảm bởi {0},Waktu kebangkitan dikurangi dengan {0},Tempo de ressurreição reduzido por {0},Tiempo de resurrección reducido por {0},Время воскресения сокращено на {0},Temps de résurrection réduit par {0},Auferstehungszeit um {0} reduziert,Diriliş süresi {0},पुनरुत्थान का समय {0} द्वारा कम किया गया,Timpul de înviere redus cu {0},انخفض وقت القيامة بواسطة {0},পুনরুত্থানের সময় {0} দ্বারা হ্রাস পেয়েছে
Property_Name10,Control,控制,ควบคุม,Điều khiển,Kontrol,Ao controle,Control,Контроль,Contrôle,Kontrolle,Kontrol,नियंत्रण,Control,يتحكم,নিয়ন্ত্রণ
Property_Des10,Attack chance to trigger freezing effect,攻擊幾率觸發冰凍效果,โจมตีโอกาสที่จะกระตุ้นเอฟเฟกต์การแช่แข็ง,Cơ hội tấn công để kích hoạt hiệu ứng đóng băng,Menyerang kesempatan untuk memicu efek pembekuan,Chance de ataque para acionar efeito de congelamento,Oportunidad de ataque para desencadenar el efecto de congelación,Шанс атаки инициировать эффект замораживания,Attaque la chance de déclencher l'effet de congélation,"Chance angreifen, um den Einfriereffekt auszulösen",Donma Etkisini Tetikleme Saldırı şansı,ठंड के प्रभाव को ट्रिगर करने का मौका,Atac șansa de a declanșa efectul de îngheț,فرصة الهجوم لإحداث تأثير تجميد,হিমায়িত প্রভাব ট্রিগার করার সুযোগ আক্রমণ
Property_Detail10,Attack target deceleration probability increased by {0}%,攻擊目標减速幾率提升{0}%,การโจมตีเป้าหมายการชะลอการชะลอตัวเพิ่มขึ้น {0}%,Xác suất giảm tốc mục tiêu tấn công tăng thêm {0}%,Probabilitas perlengkapan target serangan meningkat sebesar {0}%,Attack alvo de desaceleração da probabilidade aumentou em {0}%,La probabilidad de desaceleración del objetivo de ataque aumentó en {0}%,Вероятность замедления цели атаки увеличилась на {0}%,La probabilité de décélération cible d'attaque a augmenté de {0}%,Die Wahrscheinlichkeit des Angriffsziels verlangsamt um {0}%,Saldırı hedefi yavaşlama olasılığı {0}% arttı,हमला लक्ष्य मंदी की संभावना {0}% तक बढ़ गई,Probabilitatea de decelerare a țintei de atac a crescut cu {0}%,زاد احتمال تباطؤ الهجوم المستهدف بنسبة {0} ٪,আক্রমণ লক্ষ্য হ্রাসের সম্ভাবনা {0}% দ্বারা বৃদ্ধি পেয়েছে
Property_Name11,Lightning,閃電,ฟ้าผ่า,Lightning,Petir,Raio,Iluminación,Молния,Foudre,Blitz,Yıldırım,बिजली चमकना,Fulger,برق,বজ্র
