Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
UI-killone,First blood,第一滴血,First Blood,First blood,First blood,Primeiro sangue,Primera sangre,Первая кровь,Premier sang,Erstes Blut,İlk kan,फर्स्ट ब्लड,Primul sange,أول قتلة,ပထမသွေး,پہلا خون,প্রথম রক্ত
UI-killtwo,Double kill,雙殺,Double Kill,Double kill,Double kill,Matar duplo,Eliminación doble,Два убийства подряд,Double kill,Doppeltötung,İkide İki,दोहरी मार,Dublu asasinat,قتل مزدوج,သတ်ပစ်,ایک تیر سے دو شکار,দ্বৈত খুন
UI-killthree,Triple kill,三殺,Triple Kill,Triple kill,Triple kill,Morte Tripla,Eliminación triple,Тройное убийство,Triple kill,Dreifach-Tötung,Üçte Üç,तिगुनी मार,Triplă ucidere,قتل ثلاثي,သုံးဆသတ်,ٹرپل مار,তিনটি হত্যা
UI-killfour,Quadra kill,四殺,Quadra Kill,Quadra kill,Quadra kill,Quadra Kill,Eliminación cuádruple,Quadra Kill,Quadra kill,Vierfach Kill,Dörtte Dört,दस सेकंड के भीतर विरोधियों के चार खिलाड़ियों को मारना,Quadra ucide,قتل رباعي,quadra kill,کواڈرا مار,চারটা কিল
UI-killfive,Penta kill,五殺,Penta Kill,Penta kill,Penta kill,Penta matar,Eliminación quíntuple,Пента убийство,quintuple kill,Penta Kill,Beşte Beş,पेंटाकिल,Penta ucide,قتل خماسي,Penta Kill,پینٹا مار,পাঁচ খুন
UI-killsix,Legendary,成為傳奇了,Legendary,Huyền thoại,Legendary,Lendário,Legendario,Легендарный,Légendaire,Legendär,Efsanevi,प्रसिद्ध,Legendar,أسطوري,ဒဏ္ leg ာရီ,افسانوی,কিংবদন্তি
BANNERS-title,Victory Goals,勝利目標,เป้าหมายสู่ชัยชนะ,Mục tiêu chiến thắng,Victory goals,Gols de vitória,Objetivos de victoria,Цели победы,Objectifs de la victoire,Siegesziele,Zafer hedefi,विजय लक्ष्य,Obiective ale victoriei,أهداف النصر,အောင်ပွဲရည်မှန်းချက်များ,فتح کے اہداف,বিজয় লক্ষ্য
BANNERS-description,Total number of kills of the party has reached：{0},目標擊殺總數已到達：{0},จำนวนการสังหารทั้งหมดของทีมถึง: {0},Tổng số mạng của đội đạt: {0},Jumlah total eliminasi party telah mencapai ： {0},O número total de mortes do partido atingiu ： {0},El número total de eliminaciones ha sido alcanzado: {0},Общее количество убийств партии достигли: {0},Le nombre total de victimes a atteint : {0},Die Gesamtzahl der Kills der Partei hat erreicht: {0},Takımın toplam haklama sayısı ： {0},पार्टी की कुल संख्या ： {0} तक पहुंच गई है,Numărul total de ucideri ale partidului a ajuns ： {0},وصلت العدد الإجمالي لقتل الحزب إلى: {0},ပါတီအပေါ်လူသတ်မှုစုစုပေါင်းအရေအတွက်ရောက်ရှိခဲ့သည်။ {0},پارٹی کے ہلاکتوں کی کل تعداد ： {0} تک پہنچ گئی ہے,পার্টির মোট হত্যার সংখ্যা ： {0} এ পৌঁছেছে
UI-TITLE1,Junior sniper,初级狙击手,ซุ่มยิงจูเนียร์,Junior Sniper,Junior Sniper,Junior Sniper,Francotirador junior,Младший снайпер,Tireur d'élite junior,Junior -Scharfschütze,Küçük keskin nişancı,कनिष्ठ स्नाइपर,Lunetist junior,القناص المبتدئين,အငယ်တန်း sniper,جونیئر سپنر,জুনিয়র স্নিপার
UI-TITLE2,Entry sniper,入门狙击手,มือปืนเข้า,Súng bắn tỉa nhập cảnh,Sniper entri,Sniper de entrada,Francotirador,Вход снайпер,Tireur d'élite,Eintragsscharfschütze,Giriş Keskin Nişancı,प्रविष्टि स्नाइपर,Lunetist de intrare,القناص دخول,entry sniper,اندراج سپنر,এন্ট্রি স্নিপার
UI-TITLE3,Elite sniper,精英狙击手,มือปืนชั้นยอด,Súng bắn tỉa ưu tú,Penembak jitu elit,Elite atirador de elite,Francotirador de élite,Элитный снайпер,Tireur d'élite,Elite -Scharfschütze,Elit keskin nişancı,कुलीन स्निपर,Sniper de elită,القناص النخبة,Elite Sniper,ایلیٹ سپنر,এলিট স্নিপার
UI-TITLE4,King of snipers,狙王,กษัตริย์แห่งซุ่มยิง,Vua của Snipers,Raja penembak jitu,Rei dos atiradores,Rey de francotiradores,Король снайперов,Roi des tireurs d'élite,König der Scharfschützen,Keskin Nişancı Kralı,स्निपर्स का राजा,Regele lunetistilor,ملك القناصة,စနိုက်ပါဘုရင်,سنائپرز کا بادشاہ,স্নাইপার্স কিং
UI-TITLE5,God of snipers,狙神,พระเจ้าแห่งพลซุ่มยิง,Thần của những tay súng bắn tỉa,Dewa penembak jitu,Deus dos atiradores,Dios de los francotiradores,Бог снайперов,Dieu des tireurs d'élite,Gott der Scharfschützen,Keskin nişancı tanrısı,स्नाइपर्स के देवता,Dumnezeul lunetistilor,إله القناصة,Snipers ၏ဘုရားသခင်,سپنرز کا خدا,স্নাইপারদের God শ্বর
UI-CHENGHAO,Title,称号,ชื่อ,Tiêu đề,Judul,Título,Título,Заголовок,Titre,Titel,Başlık,शीर्षक,Titlu,عنوان,ခေါင်းစဥ်,عنوان,শিরোনাম
UI-WIN,Wins：,胜场：,ชนะ：,Chiến thắng ：,Menang ：,Vitórias:,Victorias:,Победы:,Gagne ：,Gewinnt:,Kazanır ：,जीत ：,Câștigă ：,يفوز ：,အနိုင်ရ:,جیت ：,জয় ：
UI-DAMAGE,Damage：,伤害值：,ความเสียหาย:,Hư hại:,Kerusakan:,Dano:,Daño:,Повреждать:,Dommage:,Schaden:,Zarar:,आघात:,Deteriora:,ضرر:,ပျက်စီးခြင်း:,نقصان ：,ক্ষতি ：
UI-KILL,Kills：,击杀数：,ฆ่า：,Giết,Membunuh ：,Mortes:,Mata:,Убийства ：,Tue:,Kills:,Öldürür ：,मारता है ：,Ucide ：,يقتل ：,သတ်,ہلاک ：,হত্যা ：
UI-tips name,Cumulative data display,累计数据显示,การแสดงข้อมูลสะสม,Hiển thị dữ liệu tích lũy,Tampilan Data Kumulatif,Exibição de dados cumulativos,Visualización de datos acumulativos,Совокупный отображение данных,Affichage de données cumulatives,Kumulative Datenanzeige,Kümülatif Veri Ekranı,संचयी आंकड़ा प्रदर्शन,Afișare cumulativă a datelor,عرض البيانات التراكمية,တဖြည်းဖြည်းတိုးပွားလာဒေတာမျက်နှာပြင်,مجموعی ڈیٹا ڈسپلے,ক্রমবর্ধমান ডেটা প্রদর্শন
UI-tips,Wins:+{0} Kills:+{1} Damage:{2} {3}Win:{4} Kills:{5} Damage:{6},勝利:+{0} 擊殺:+{1} 傷害:{2} {3}勝利:{4} 擊殺:{5} 傷害:{6},wins:+{0} ฆ่า:+{1} ความเสียหาย: {2} {3} win: {4} ฆ่า: {5} ความเสียหาย: {6},Thắng:+{0} giết chết:+{1} sát thương: {2} {3} win: {4} giết chết: {5} sát thương: {6},Menang:+{0} kills:+{1} kerusakan: {2} {3} win: {4} membunuh: {5} kerusakan: {6},Wins:+{0} mata:+{1} dano: {2} {3} win: {4} mata: {5} dano: {6},Gana:+{0} mata:+{1} daño: {2} {3} win: {4} mata: {5} daño: {6},Wins:+{0} убийства:+{1} Урон: {2} {3} Win: {4} Kills: {5} Урон: {6},WinS: + {0} Kills: + {1} Dommage: {2} {3} Win: {4} Kills: {5} Dommage: {6},Wins:+{0} Kills:+{1} Schaden: {2} {3} Win: {4} Kills: {5} Schaden: {6},Kazanır:+{0} Öldürür:+{1} Hasar: {2} {3} Win: {4} Öldürür: {5} Hasar: {6},जीत:+{0} मारता है:+{1} क्षति: {2} {3} जीत: {4} मारता है: {5} क्षति: {6},Câștigă:+{0} ucide:+{1} daune: {2} {3} câștig: {4} ucide: {5} daune: {6},يفوز:+{0} يقتل:+{1} الضرر: {2} {3} Win: {4} Kills: {5} الضرر: {6},Wins: + {0} damage: {0} damage: {2 {1} win: {2} win: {4} Damage: {5},جیت:+{0} قتل:+{1} نقصان: {2} {3} جیت: {4} قتل: {5} نقصان: {6},জয়:+{0} হত্যা:+{1} ক্ষতি: {2} {3} উইন: {4} হত্যা: {5} ক্ষতি: {6}
UI-tips1,Rank,級別,จัดอันดับ,Thứ hạng,Pangkat,Classificação,Rango,Классифицировать,Rang,Rang,Rütbe,पद,Rang,رتبة,အဆင့်,درجہ,র‌্যাঙ্ক
UI-tips2,Nickname,昵稱,ชื่อเล่น,Tên nick,Nama panggilan,Apelido,Apodo,Прозвище,Surnom,Spitzname,Takma ad,उपनाम,Poreclă,كنية,အမည်ပြောင်,عرفی نام,ডাকনাম
UI-tips3,Kill,擊殺,ฆ่า,Giết,Membunuh,Matar,Matar,Убийство,Tuer,Töten,Öldürmek,मारना,Ucide,قتل,သတ်ဖြတ်,مار,হত্যা কর
GAME-kill60,60 people,60人,60 คน,60 người,60 orang,60 pessoas,60 personas,60 человек,60 personnes,60 Leute,60 kişi,60 लोग,60 de persoane,60 شخصًا,လူ 60,60 افراد,60 জন
GAME-kill80,80 people,80人,80 คน,80 người,80 orang,80 pessoas,80 personas,80 человек,80 personnes,80 Personen,80 kişi,80 लोग,80 de persoane,80 شخصًا,လူ 80,80 افراد,80 জন
UI-NAMESORT,Daily leaderboard,每日排行榜,กระดานผู้นำรายวัน,Bảng xếp hạng hàng ngày,Papan peringkat harian,Tabela de classificação diária,Tabla de clasificación diaria,Ежедневная таблица лидеров,Classement quotidien,Tägliche Rangliste,Günlük liderlik,दैनिक लीडरबोर्ड,Clasament zilnic,المتصدرين اليومية,နေ့စဉ်ခေါင်းဆောင်ဘုတ်အဖွဲ့,روزانہ لیڈر بورڈ,দৈনিক লিডারবোর্ড
UI-TIPSSORT,The leaderboard will be reset at 10:00am (GMT+8),排行榜將於10:00am 重置（GMT+8）,กระดานผู้นำจะพักเวลา 10:00 น. (GMT+8),Bảng xếp hạng sẽ được nghỉ ngơi lúc 10:00 sáng (GMT+8),Papan peringkat akan diistirahatkan pada pukul 10:00 pagi (GMT+8),A tabela de classificação estará descansada às 10:00 (GMT+8),La tabla de clasificación descansará a las 10:00 a.m. (GMT+8),Таблица лидеров будет отдыхать в 10:00 утра (GMT+8),Le classement sera reposé à 10h00 (GMT + 8),Die Rangliste wird um 10:00 Uhr ausgeruht (GMT+8),Lider tablosu saat 10: 00'da dinlenecek (GMT+8),लीडरबोर्ड को सुबह 10:00 बजे आराम किया जाएगा (GMT+8),Clasamentul va fi odihnit la 10:00 AM (GMT+8),سيتم استراحة لوحة المتصدرين في الساعة 10:00 صباحًا (GMT+8),ခေါင်းဆောင်ဘုတ်အဖွဲ့ကိုနံနက် 10 း 00 နာရီတွင်အနားယူမည် (GMT + 8),لیڈر بورڈ کو صبح 10:00 بجے آرام کیا جائے گا (GMT+8),লিডারবোর্ডটি সকাল 10:00 টায় বিশ্রাম নেওয়া হবে (GMT+8)
UI-SIDETIPS,The corridors on both sides will open in 5 seconds,兩邊通道將在5秒后打開,ทางเดินทั้งสองด้านจะเปิดใน 5 วินาที,Các hành lang ở cả hai bên sẽ mở trong 5 giây,Koridor di kedua sisi akan terbuka dalam 5 detik,Os corredores de ambos os lados serão abertos em 5 segundos,Los corredores en ambos lados se abrirán en 5 segundos,Коридоры с обеих сторон откроются за 5 секунд,Les couloirs des deux côtés s'ouvriront en 5 secondes,Die Korridore auf beiden Seiten werden in 5 Sekunden geöffnet,Her iki taraftaki koridorlar 5 saniye içinde açılacak,दोनों तरफ के गलियारे 5 सेकंड में खुलेंगे,Coridoarele de pe ambele părți se vor deschide în 5 secunde,ستفتح الممرات على كلا الجانبين في 5 ثوانٍ,နှစ်ဖက်စလုံးတွင်စင်္ကြံများက 5 စက္ကန့်အတွင်းဖွင့်လှစ်လိမ့်မည်,دونوں طرف سے راہداری 5 سیکنڈ میں کھلیں گی,উভয় পক্ষের করিডোরগুলি 5 সেকেন্ডের মধ্যে খোলা হবে
GAME-TIPSRANK,Regional no.{0} player {1} has join the game!,全区第{0}名玩家{1}加入游戏,หมายเลขภูมิภาค {0} ผู้เล่น {1} เข้าร่วมเกม!,Khu vực số {0} người chơi {1} đã tham gia trò chơi!,No Regional. {0} Player {1} telah bergabung dengan game!,Regional no. {0} Player {1} entrou no jogo!,¡Regional no. {0} jugador {1} se ha unido al juego!,Региональный №. {0} Игрок {1} присоединился к игре!,N ° régional {0} Le joueur {1} a rejoint le jeu!,Regional Nr. {0} Player {1} hat sich dem Spiel angeschlossen!,Bölgesel no. {0} Player {1} oyuna katıldı!,क्षेत्रीय सं। {0} खिलाड़ी {1} खेल में शामिल हो गया है!,Nr. Regional {0} Player {1} s -a alăturat jocului!,No. {0} اللاعب {1} قد انضم إلى اللعبة!,ဒေသဆိုင်ရာအမှတ်။ {0} Player {1} ဂိမ်းတွင်ပါ 0 င်သည်။,علاقائی نمبر. {0} پلیئر {1} کھیل میں شامل ہے!,আঞ্চলিক নং। {0} প্লেয়ার {1} গেমটিতে যোগ দিয়েছে!
GAME-TIPSRANK100,Regional top 100 player {0} has join the game!,百强榜玩家{0}加入游戏,ผู้เล่น 100 อันดับสูงสุดในภูมิภาค {0} เข้าร่วมเกม!,Người chơi Top 100 khu vực {0} đã tham gia trò chơi!,Pemain Top 100 Regional {0} telah bergabung dengan game!,Os 100 melhores jogadores regionais {0} se juntou ao jogo!,¡Regional Top 100 Player {0} se ha unido al juego!,Региональный топ 100 игрок {0} присоединился к игре!,Le joueur régional du Top 100 {0} a rejoint le jeu!,Regional Top 100 Player {0} hat sich dem Spiel angeschlossen!,Bölgesel Top 100 Oyuncu {0} oyuna katıldı!,क्षेत्रीय शीर्ष 100 खिलाड़ी {0} खेल में शामिल हो गया है!,Top 100 Regional Player {0} s -a alăturat jocului!,انضم إلى أفضل 100 لاعب إقليمي {0} للعبة!,ဒေသဆိုင်ရာထိပ်တန်းကစားသမား 100 {0} ဂိမ်းတွင်ပါ 0 င်သည်။,علاقائی ٹاپ 100 پلیئر {0} کھیل میں شامل ہوچکا ہے!,আঞ্চলিক শীর্ষ 100 প্লেয়ার {0} গেমটিতে যোগদান করেছে!
